STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
GHCND:GRE00155860,"AGRINIO, GR",1998-01-01,2004-12-01,null,Greece,38.62,21.38,25
GHCND:GRE00155832,"ALEXANDROUPOLI, GR",1998-01-01,2004-12-01,null,Greece,40.85,25.93,3
GHCND:GRE00105232,"ANCHIALOS, GR",1958-01-01,2004-12-01,null,Greece,39.2167,22.8,15
GHCND:GRE00105238,"CHANIA, GR",1958-01-01,2004-12-01,null,Greece,35.5,24.0331,151
GHCND:GRE00105242,"FLORINA, GR",1961-01-01,2004-12-01,null,Greece,40.7831,21.4,662
GHCND:GR000016716,"HELLINIKON, GR",1955-01-01,2024-06-01,null,Greece,37.9,23.75,10
GHCND:GR000016754,"HERAKLION, GR",1955-01-01,2024-06-01,null,Greece,35.3331,25.1831,39
GHCND:GRE00155916,IERAPETRA,1998-01-01,2004-12-01,null,null,35,25.73,0
GHCND:GRE00155846,"IOANNINA, GR",1998-01-01,2004-12-01,null,Greece,39.7,20.82,484
GHCND:GRE00155881,"KALAMATA, GR",1998-01-01,2004-12-01,null,Greece,37.06,22,11
GHCND:GRM00016726,"KALAMATA, GR",1997-08-01,2024-06-01,null,Greece,37.068,22.026,7.9
GHCND:GRE00155839,"KOZANI, GR",1998-01-01,2004-12-01,null,Greece,40.28,21.83,626
GHCND:GRE00105244,"LAMIA, GR",1970-01-01,2004-12-01,null,Greece,38.9,22.4,144
GHCND:GR000016648,"LARISSA, GR",1955-01-01,2024-06-01,null,Greece,39.65,22.45,73
GHCND:GRM00016622,"MAKEDONIA, GR",1964-07-01,2024-06-01,null,Greece,40.52,22.971,6.7
GHCND:GR000016734,"METHONI, GR",1956-01-01,2023-06-01,null,Greece,36.8331,21.7,52
GHCND:GRE00155909,"RHODOS, GR",1998-01-01,2004-12-01,null,Greece,36.4,28.12,11
GHCND:GR000167230,"SAMOS AIRPORT, GR",1978-05-01,2024-05-01,null,Greece,37.7,26.9167,2
GHCND:GR000167460,SOUDA AIRPORT,1958-07-01,2024-06-01,null,null,35.4831,24.1167,146
GHCND:GRE00105246,"TANAGRA, GR",1958-01-01,2004-12-01,null,Greece,38.3167,23.5331,140
GHCND:GRE00155825,THESSALONIKI,1998-01-01,2004-08-01,null,null,40.62,22.95,32
GHCND:GRE00155874,"TRIPOLI, GR",1998-01-01,2004-12-01,null,Greece,37.53,22.4,652
